FLEXI-INTL	FINANCIALS	ACCOUNTING	ENTPRISE-APP	ACCOUNTING
CONCURRENT	DISK	DISK-DRIVE	DISK	DISK DRIVE
SET	PRINTER	PRINTER	PRINTER	PRINTER
INTERCONECT	INET-ACCESS	 	 	INTERNET ACCESS PROVIDER
VERIZON	IDS	INTRSN-DECT	SECURITY-MGT	INTRUSION DETECTION SOFTWARE
MAN-OBJECTS	EAI	EAI	WORKFLOW	ENTERPRISE APPL INTEGRATION
SPIDER	ROUTER	ROUTER	ROUTER	ROUTER
CORTELCO	PBX-EXT	 	 	PLANNED PBX EXTENSIONS
INTER-TEL	KEY-SYSTEM	KEY-SYSTEM	KEY-SYSTEM	KEY/NON-PBX SYSTEM
NCR	6470	PRODUCTION	PRODUCTION	PRODUCTION PRINTER
UNISYS	DEV-TOOL	DEV-TOOL	APPL-MGMT	APPL DEVELOPMENT TOOLS
INFOR	CRM	CRM/SFA	ENTPRISE-APP	CUSTOMER/SALESFORCE MGMT
MICROAGE	PURCH-SOURCE	 	 	MICROAGE
AT&T	DESKTOP	DESKTOP	PC	PERSONAL DESKTOP COMPUTER
SILVERSERVE	INET-ACCESS	 	 	INTERNET ACCESS PROVIDER
GPS	UPS	 	 	POWER SYSTEM
CLEARPATH	MPLS	MPLS	MPLS	MULTIPROTCOL LABEL SWITCHING
IBM	RACF	ACCESS-MGMT	SECURITY-MGT	ACCESS MANAGEMENT
MICROSOFT	MAIL	GROUPWARE	OFFICE	GROUPWARE SOFTWARE
NEXT	INKJET	INKJET	INKJET	INK JET PRINTER
LOTUS	DOMINO-GO	APP-SERVER	WORKFLOW	APPLICATION SERVER SOFTWARE
ORACLE	APP-SERVER	APP-SERVER	WORKFLOW	APPLICATION SERVER SOFTWARE
TELCO	MAINT	MAINT	MAINT	MAINTENANCE VENDOR
EPICOR	PLATINUM-HR	HUMAN-RES	ENTPRISE-APP	HUMAN RESOURCES MANAGEMENT
CABLE&WIRE	VOICEPROVIDE	LONG-DIST	LONG-DIST	LONG DISTANCE CARRIER
VIGNETTE	FRONTOFFICE	CRM/SFA	ENTPRISE-APP	CUSTOMER/SALESFORCE MGMT
IBM	SAN	SAN	SAN	STORAGE AREA NETWORK
AVECHO	INET-ACCESS	 	 	INTERNET ACCESS PROVIDER
PRAGER	INET-ACCESS	 	 	INTERNET ACCESS PROVIDER
VERIZON	ETHERNET	ETHERNET	ETHERNET	ETHERNET NETWORK
IBM	MMAS	ACCOUNTING	ENTPRISE-APP	ACCOUNTING
MICRON	PURCH-SOURCE	 	 	MICRON ELECTRONICS INC
SYMANTEC	COMCNTRL-AVL	ACCESS-MGMT	SECURITY-MGT	ACCESS MANAGEMENT
VISUAL-SOFT	CRM	CRM/SFA	ENTPRISE-APP	CUSTOMER/SALESFORCE MGMT
APPLIED-ID	GRC-SOFTWARE	GRC-SOFTWARE	ENTPRISE-APP	COMPLIANCE SOFTWARE
HP	9000-V2500	V-CLASS	9000-SVR	SERVER
